Utterance-LEV,Response-LEV,Utterance-EGY,Response-EGY,Utterance-GUL,Response-GUL
شو الألعاب لي كنت تحب تلعبا انت وصغير؟,كنت حب العب داما وشطرنج,ايه الألعاب الي كنت بتحب تلعبها وانت صغير؟,كنت احب العب داما وشطرنج,"يا علياء، ليش شكلك معصبة؟","بسبب الجارة الجديدة، أكره جرأتها."
هيدول لي كانوا علقانين الأسبوع الماضي اطلقوا,"كنت متوقع يصير هيك, صار بيناتن مشاكل كتير اخر فترة",دول الي كانوا متخانقين الأسبوع الي فات اطلقوا,"كنت متوقع يحصل كدة, حصل بينهم مشاكل كتير اخر فترة",أنا قاعد أسوي فرقة موسيقية.,تعرف تعزف على آلة موسيقية؟
شو رأيك بالزواج الي ما بينبنا على حب؟,الشي لي ما بينبنى على حب واحترام متبادل ما بينجح,ايه رأيك في الزواج الي مبيتبناش على حب؟,الشيء الي ما يتبناش على حب واحترام متبادل ما بينجحش,سمعت أنك هتروح أمريكا بكرة. أبغى أشوفك بكرة في المطار.,مشكور.
بتحب تسافر؟,بحب سفر السياحة بس سفر الشغل ابدا,بتحب تسافر؟,بحب سفر السياحة بس سفر الشغل خالص,آسف يا أبوي. بس ما تقدر تسوي كذا. القرار قراري أنا.,"اها، طيب. قررت ولا لسا؟ الحين اسمعني، أنت عمرك 19 بس."
شو انواع الخضرة لي زارعن بالجنينة؟,زارع تشكيلة منوعة! شو ما بيخطر على بالك!,ايه انواع الخضار الي زارعها في الجنينة؟,زارع تشكيلة متنوعة! اي حاجة تخطر على بالك!,"مرحباً، مطعم الصداقة. كيف أقدر أساعدك؟",أبغى أحجز طاولة اليوم.
كيف كان الطقس بالبلد الي جاي منو؟,بهل وقت من السنة بكون دف,ايه اخبار الجو في البلد اي كنت جاي منو؟,في الوقت ده من السنة بيكون دفا,"أهلين منى، جيتي بدري اليوم.","إيوة، هقضي اليوم اتصالات بالجوال. مرَّة حماس."
يا الله! حأتخر عل موعد!,بشو بقدر ساعدك؟,يا الله! حأتخر على المعاد!,في ايه اقدر اساعدك؟,هذا أحلى غروب شمس.,خلنا نوقف السيارة ونستمتع بالمنظر.
لازم تصير تزورنا اكتر,ما في شك! انشاالله بعطلة الربيع الجاي,لازم تبقى تزورنا اكتر,مفيش شك! انشاالله في اجازة الربيع الجاية,اليوم الجو جميل! ليش ما نخرج؟,أكيد. فين تقترح نروح؟
شو هيدا الشي؟,مش عارف خليني شوف,ايه الحاجة ديه؟,مش عارف خليني اشوف,ليش ما قلت لي أنو عندك حبيبة؟,"آسف، كنت أحسبك تعرف."
اليوم عينوا مدير جديد بالشركة,اها! عقبال منشوفك انت المدير,انهردة مدير جديد في الشركة,اها! عقبال منشوفك انت المدير,هلا بلال.,أهلين جاسم.
الطقس حلو اليوم ايه؟,ايه بجنن!,الجو حلو انهردة صح؟,اه يجنن!,فين تامر اليوم؟,هو تعبان شوي.
فاضي نهار الأحد لنروح عل ماراثون؟,ايه فاضي بس مش حابب روح,فاضي يوم الجد عشان نروح على المراثون؟,اه فاضي بس مش حابب اروح,ممكن لازم تكلم الأستاذ.,"لا، مافي فايدة."
شو عجبك الفبلم؟,لا ابدا! ما حبيتو ابدا,ايه عجبك الفبلم؟,لا ابدا! ماحبيتهوش ابدا,خلصت آخر اختبار نهائي اليوم.,نهاية الاجتهاد عشان الماستر حقتي. شعور جميل لمن أجيب شهادتي!
شو القصة ليه هلقد تعبان؟,والله ما في شي بس شويت ضغط من الشغل,ايه القصة ليه تعبان للدرجة ديه؟,والله مافيش بس شوية ضغط من الشغل,عندك مانع اسئلك سؤال؟,"لا عادي، اتفضل."
بتعرف انو شرب البيرة بخلي صوتك احلى؟,شو عم تحكي! مين خبرك هل حكي,تعرف ان شرب البيرة بيخلي صوتك احلى؟,ايه الكلام ده! مين الي قالك الكلام ده,صباح الخير يا سلوى.,صباح الخير يا تامر. كيف الحال؟
"عفوا, ممكن تزيح شوي؟",اكيد تفضل,"عفوا, ممكن تنزاح شوية؟",اكيد اتفضل,هل المشاكل البيئية كبيرة في بلدك؟ عشان هي مشكلة كبيرة في بلدي.,"في بلدي أنا كمان. أكبر مشكلة الموية. المناخ هنا جاف، فعشان كذا مهم نحافظ على الموية."
"اسبوع الجاي ببلش شهر رمضان, رمضان كريم!",علينا وعليك,"الاسبوع الجي يبدأ شهر رمضان, رمضان كريم!",علينا وعليك,"أسرع، الوقت هينتهي.","تمام، أنا أجري بأسرع ما عندي."
"من بعد اذنك, ممكن استعير البسكليت؟",ليش لوين بدك تروح فيها؟,"من بعد اذنك, ممكن استلف العجلة؟",ليه عايز تروح بيها فين؟,"هلا كامل، كيف كان تمرين الأسبوع ذا؟","عملت عدة اختبارات وعرض تقديمي شفهي الأسبوع ذا، لعشان كذا ما جاتني الفرصة احفظ الصفحة الثانية ، بس أظن أني أتقنت القسم الصعب."
ما بتحسها غريبة انك تستلم مطرح المدير القديم؟,ابدا! الدنيا فرص والشاطر ما بفوت فرصة هيك,متحسهاش غريبة انك تستلم مكان المدير القديم؟,ابدا! الدننيا فرص والشاطر ميفوتش فرصة ذي ديه,تقدر تقول لي كم الساعة؟,الساعة 5:30 في ساعتي.
شو رأيك خسرك بلعبة التنس؟,ما بتقدر تخسرني,ايه رأيك اهزمك في لعبة التنس؟,ماتقدرش تخسرني,سمعت أنك هتروحي في أول موعد لكي في مساء يوم الجمعة.,أنتي معصبة يا لمياء؟
بعدك عم تسعل؟,ايه السعلة صارت اقوى كمان,لسة بتكح؟,اه الكحة بقت اقوى كمان,"هلا مريم، من زمان ما شفتك.",سمعت أنك هتتزوجي.
لازم توقف تدخين عم اتضر صحتك كتير,معك حق بس هيدي عادة قديمة ما بقدر وقفها,لازم توقف تدخين انت بتضر صحتك جامد,معاك حق بس ديه عادة قديمة ماقدرش اوقفها,"جاسم وأنت أصحاب مقربين، صح؟",ما اقدر أقول كذا.
كيف كانت الصيفية؟,"منيحة, سافرت على استراليا ونيوزلاندا",ايه اخبار اجازة الصيف؟,"كويسة, سافرت على استراليا ونيوزلاندا",كل شي تمام؟,"إيوة، كل شي تمام."
صرلك فترة مش مبسوط شو القصة؟,مافي شي شكرا عل اهتمام,بقالك فترة مش مبسوط ايه القصة؟,مافيش حاجة شكرا على اهتمام,عندي أخبار سيئة عن الدراجة اللي استعرتها منك.,إيش صار؟
ماما ممكن تراجعلي الفرض قبل ما سلمو بكرا؟,شفتو حبيبي يعطيك العافية بجنن,ماما ممكن تراجعيلي الواجب قبل ما اسلموا بكرا؟,شفتو حبيبي يعطيك العافية يجنن,كم تاريخ اليوم؟,"اليوم ديسمبر 23، 2002."
شو رأيك نروح نكزدر عل كورنيش نهار الأحد؟,ايه اكيد ما عندي مانع منغير جو شوي,ايه رأيك نروح نتمشى على الكورنيش يوم الحد؟,اه اكيد معنديش مانع نغير جو شوية,"هلا أنا هبة، انتقلت إلى هنا اليوم.","هلا هبة، أنا عثمان. اتشرفت بمقابلتك."
ميلاد مجيد!,كل عام وانت بخير!,ميلاد مجيد!,كل عام وانت بخير!,"تدري، أمس كانت هتطيح علي مزهرية من الدور الثالث.","شي فظيع، أنا جداً آسف."
انا انتهيت. فلست رسميا,ما تعتل هم. كل شي حيكون منيح,انا انتهيت. فلست رسميا,ما تشلش هم. كل حاجة حتكون كويسة,"نفسي أروح رحلة لفلوريدا في هذا اليوم الكئيب في نيويورك، عشان استمتع بضوء الشمس وأنا مستلقي في شواطئ فلوريدا.",فكرة حلوة. هذا أفضل موسم للسياح في فلوريدا. تقدر تحصل على سمرة شمس جميلة.
ممكن تفرجيني البدلة تعيتك؟,اكيد. لحظة لجيبها من الخزانة,ممكن توريني البدلة بتعتك؟,اكيد. لحظة اجيبهالك من الدولاب,"دوبي خلصت أقرا المقالة ذي ""التقدم بالعمر بجمال"" مقالة جيدة جداً.",إيش تقول المقالة؟
انا تعبت منك! انت مين مفكر حالك ولا؟,كيف بتسترجي تحكي معي هيك؟,انا تعبت منك! انت فاكر نفسك مين يلا؟,اذاي تجرؤ تتكلم معايا كدة؟,مشكور على جيتك للسوق معي.,اتشرفت أنك سألتني أجي معاك.
مبين عليكي مسمرّة. شو كاينة عل بحر؟,ايه. السبت والأحد رحت,باين عليكي مسمرّة.ايه كنتي على البحر؟,اه. السبت والأحد رحت,أحب البنات النحيفات. وأنت؟,ليس بالتحديد. أنا أحب البنات البدينات.
اليوم حنكمل درس العلوم. شو وظيفة القلب بالجسم؟,القلب بيضخ الدم يا استاذ,انهردة حنكمل درس العلوم. ايه وظيفة القلب في الجسم؟,القلب بيضخ الدم يا استاذ,إيش صاير هنا؟,احناننتظر في الطابور عشان نحصل على وحدة من مقاطع الفيديو الصينية لـ ماستر لي. جبت وحدة السنة اللي افات وحظي كان ممتاز طوال العام!
هيدي الخطة مش منيحة لشغلك. عم تلعب بالنار,ليش؟ هيك عم بخلق فرص اكتر,الخطة ديه مش كويسة لشغلك. انت بتلعب بالنار,ليه؟ كدة بتخلق فرص اكتر,أفترض أنك تحب التصوير السينمائي والأزياء وهذي الأشياء؟,فعلاً أحبها. منظر الصورة جداً مهم.
